room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
15928651,1076,54205233,Entire home/apt,,Barcelona,,Sants-Montjuïc,0,0.0,4,2.0,,820.0,,Cosy flat close to the airport and Mobile Congress,2017-04-15 22:23:06.969134,41.374161,2.144759,0101000020E6100000CF691668772801402638F581E4AF4440
659207,1076,366654,Entire home/apt,,Barcelona,,Eixample,44,5.0,6,3.0,,1018.0,,MODERNIST PENTHOUSE  LUXURY BEST EVER IN BCN,2017-04-15 22:23:06.966761,41.390049,2.176432,0101000020E610000034BE2F2E55690140336B2920EDB14440
6970615,1076,36548701,Entire home/apt,,Barcelona,,Eixample,13,5.0,9,4.0,,775.0,,THE FORTYSIX*****GRAN LUJO APART PASSEIG DE GRACIA,2017-04-15 22:23:06.963734,41.392436,2.166837,0101000020E61000001E1A16A3AE550140F3E2C4573BB24440
1720249,1076,9007369,Entire home/apt,,Barcelona,,Eixample,2,0.0,6,3.0,,934.0,,Aragon Platinum III Barcelona,2017-04-15 22:23:06.957482,41.394676,2.167567,0101000020E6100000541C075E2D5701400F4240BE84B24440
18167113,1076,12528885,Entire home/apt,,Barcelona,,Gràcia,0,0.0,8,4.0,,764.0,,GRACIA TOWNHOUSE,2017-04-15 22:23:06.954317,41.405503,2.153827,0101000020E610000031EF71A6093B014007B7B585E7B34440
18122080,1076,26165888,Entire home/apt,,Barcelona,,Eixample,0,0.0,6,2.0,,754.0,,Luxury penthouse with terrace Placa Catalunya I,2017-04-15 22:23:06.950841,41.389635,2.17605,0101000020E6100000B8AF03E78C6801404030478FDFB14440
16869876,1076,2733852,Entire home/apt,,Barcelona,,Eixample,1,0.0,8,4.0,,765.0,,luxury flat with terrace,2017-04-15 22:23:06.941185,41.393379,2.15102,0101000020E6100000DA5548F94935014073F7393E5AB24440
9518537,1076,8130906,Entire home/apt,,Barcelona,,Sant Martí,9,5.0,10,5.0,,755.0,,AMAZING SEA VIEW APARTMENT,2017-04-15 22:23:06.938283,41.406276,2.216467,0101000020E61000004D4EED0C53BB014029931ADA00B44440
17582798,1076,4459553,Entire home/apt,,Barcelona,,Sants-Montjuïc,5,5.0,9,5.0,,765.0,,1920 AB Paral.lel Spacious Apartments 3rd Floor,2017-04-15 22:23:06.935927,41.373887,2.16845,0101000020E6100000F0164850FC58014025B37A87DBAF4440
15845244,1076,22804738,Entire home/apt,,Barcelona,,Sarrià-Sant Gervasi,0,0.0,2,1.0,,765.0,,Entresuelo de diseño con terraza,2017-04-15 22:23:06.933249,41.395877,2.143142,0101000020E6100000E67805A2272501408A1EF818ACB24440
18122442,1076,26165888,Entire home/apt,,Barcelona,,Eixample,0,0.0,6,2.0,,754.0,,Luxury penthouse with terrace Placa Catalunya II,2017-04-15 22:23:06.930942,41.387958,2.171201,0101000020E6100000085740A19E5E01405C1C959BA8B14440
14171072,1076,131794,Entire home/apt,,Barcelona,,Eixample,3,5.0,16,9.0,,873.0,,Sleeps 24 off Paseo de Gracia with sunny terrace,2017-04-15 22:23:06.928589,41.396028,2.169261,0101000020E6100000F3E7DB82A55A01407026A60BB1B24440
